PING 10.0.2.2 (10.0.2.2) 56(84) bytes of data.
64 bytes from 10.0.2.2: icmp_seq=82 ttl=63 time=4.01 ms
64 bytes from 10.0.2.2: icmp_seq=83 ttl=63 time=3.18 ms
64 bytes from 10.0.2.2: icmp_seq=84 ttl=63 time=3.24 ms
64 bytes from 10.0.2.2: icmp_seq=85 ttl=63 time=3.64 ms
64 bytes from 10.0.2.2: icmp_seq=86 ttl=63 time=3.61 ms
64 bytes from 10.0.2.2: icmp_seq=87 ttl=63 time=3.48 ms
64 bytes from 10.0.2.2: icmp_seq=88 ttl=63 time=3.52 ms
64 bytes from 10.0.2.2: icmp_seq=89 ttl=63 time=3.37 ms
64 bytes from 10.0.2.2: icmp_seq=90 ttl=63 time=3.27 ms
64 bytes from 10.0.2.2: icmp_seq=91 ttl=63 time=3.55 ms
64 bytes from 10.0.2.2: icmp_seq=92 ttl=63 time=3.65 ms
64 bytes from 10.0.2.2: icmp_seq=93 ttl=63 time=3.45 ms
64 bytes from 10.0.2.2: icmp_seq=94 ttl=63 time=3.44 ms
64 bytes from 10.0.2.2: icmp_seq=95 ttl=63 time=3.51 ms
64 bytes from 10.0.2.2: icmp_seq=96 ttl=63 time=3.81 ms
64 bytes from 10.0.2.2: icmp_seq=97 ttl=63 time=3.20 ms
64 bytes from 10.0.2.2: icmp_seq=98 ttl=63 time=3.21 ms
64 bytes from 10.0.2.2: icmp_seq=99 ttl=63 time=3.41 ms
64 bytes from 10.0.2.2: icmp_seq=100 ttl=63 time=3.44 ms

--- 10.0.2.2 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99653ms
rtt min/avg/max/mdev = 3.182/3.668/5.630/0.500 ms
